Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,1.56,16.0,3640.18
Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,1024,True,1.45,14.0,3009.03
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,1.34,14.0,2434.03
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,4096,True,1.18,13.3,2863.3
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,1024,True,1.31,14.0,3036.3
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,256,False,3.34,17.3,3832.94
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,1024,True,1.11,13.3,4966.61
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,True,1.29,13.3,2965.92
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,False,1.4,13.3,2861.7
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,False,1.15,13.3,2850.74
Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,256,True,1.06,14.0,2125.69
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.47,15.6,1905.52
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,2048,True,1.6,16.0,2483.57
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,512,True,1.34,14.0,2643.73
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,1024,False,1.39,14.0,2875.48
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,2048,True,1.68,16.0,2878.02
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,2048,False,2.89,17.3,2243.99
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,2048,False,2.89,17.3,3039.38
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,2048,True,2.27,15.6,2419.91
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,512,True,1.95,16.0,2081.67
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,1024,False,3.17,17.3,3036.91
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,1.72,16.0,4309.23
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4,3052.6
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,1024,True,1.16,14.0,2472.75
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,4096,False,1.02,14.0,3416.8
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,2048,True,2.58,17.3,2121.87
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,512,False,1.53,15.6,3600.11
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,4096,False,1.94,15.6,2722.59
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,1024,False,1.59,15.6,2301.13
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,True,2.34,15.6,3227.65
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,2048,False,1.22,14.0,2769.23
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,512,True,1.46,14.0,3836.7
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.96,16.0,3349.19
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,2048,False,2.98,18.4,3324.26
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,4096,False,2.23,16.0,3775.69
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,True,1.48,13.3,2768.02
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,2.53,18.4,4452.28
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,2.63,18.4,2676.19
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6,2800.7
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,True,1.19,13.3,3721.9
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,4096,True,1.18,13.3,3465.71
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,1024,False,1.35,14.0,1626.91
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3,2124.7
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3,1820.28
Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,2.15,15.6,3777.82
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,False,2.44,16.0,3385.15
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6,2231.08
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,512,False,2.79,18.4,3766.42
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,2048,False,1.37,13.3,4862.14
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,256,True,1.21,13.3,2468.41
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4,1928.39
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,512,False,2.4,16.0,1980.42
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,1024,True,1.18,14.0,3494.09
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,256,True,2.27,15.6,1949.11
Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,2.01,15.6,3507.76
Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,512,False,1.47,14.0,2127.07
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,512,True,1.42,14.0,4402.93
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3,4425.75
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,1024,False,1.25,13.3,3252.33
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,1024,True,1.11,13.3,3012.33
Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,4096,True,2.75,18.4,3238.81
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3,2038.19
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,1024,True,1.3,13.3,3264.49
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,2.8,18.4,4303.91
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.1,14.0,2729.33
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,3.06,18.4,4116.44
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.9,16.0,4430.89
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,2048,False,1.79,15.6,3158.48
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0,4018.19
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,2.43,15.6,3956.54
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,False,3.25,18.4,2598.42
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,4096,True,2.24,15.6,4074.21
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,512,False,1.16,14.0,3087.49
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,2048,False,1.97,15.6,4533.15
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3,2820.28
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0,3185.29
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,4096,True,1.17,14.0,2732.72
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,1024,False,1.22,14.0,2604.05
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,3.0,18.4,4198.69
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,1024,True,1.31,13.3,3025.61
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,1024,False,1.2,14.0,1848.24
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,256,True,2.75,17.3,2258.67
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,True,2.84,18.4,3024.7
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4,1998.16
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,2048,True,2.56,18.4,4389.78
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,2048,True,3.13,18.4,3437.49
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,2048,False,2.92,18.4,1818.8
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,2048,True,2.73,17.3,2844.42
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,4096,True,3.4,17.3,2238.89
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0,2965.65
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,2.36,15.6,2671.77
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,1024,True,3.01,17.3,3434.14
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3,2874.69
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4,2864.26
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3,3855.82
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,2048,False,2.84,18.4,3755.46
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,1024,False,3.35,17.3,3097.36
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,False,2.56,18.4,1853.61
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,False,1.35,14.0,2614.82
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,1024,False,2.28,15.6,4711.01
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3,3138.57
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,1.41,14.0,2642.25
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,4096,True,1.67,16.0,2323.97
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,False,1.17,14.0,3940.11
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0,2040.33
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,1024,False,1.22,13.3,3120.75
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,256,False,1.45,14.0,4545.44
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,2.01,15.6,4131.02
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,1024,False,1.86,15.6,2663.87
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,256,False,2.02,15.6,2968.79
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,True,1.38,14.0,4268.19
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,512,True,1.09,13.3,2272.27
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,256,True,2.45,16.0,2845.39
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4,1833.04
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3,2695.3
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,False,1.45,13.3,2171.29
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0,2762.83
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3,3399.62
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,2.33,15.6,2913.92
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,512,True,1.82,15.6,2920.51
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,512,False,1.42,14.0,2526.73
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,1.8,15.6,4414.92
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,256,False,1.58,15.6,2235.9
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,1.93,16.0,4012.01
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3,3639.4
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,4096,True,1.66,15.6,3465.46
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4,2448.96
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,256,True,2.54,17.3,3185.9
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,512,True,3.0,17.3,3816.09
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,512,True,2.32,15.6,2836.51
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,4096,False,1.55,16.0,3185.87
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,4096,False,2.23,15.6,4180.94
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,2048,True,1.49,13.3,4092.8
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.01,17.3,3665.84
Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,512,True,3.27,17.3,2078.91
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,256,True,1.92,15.6,2345.74
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,256,False,1.26,14.0,2780.58
Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,2048,False,3.01,18.4,2369.51
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,512,False,1.18,13.3,2958.42
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.74,15.6,2364.13
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,2048,False,1.18,13.3,3151.29
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,2048,False,1.35,14.0,2765.58
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6,3719.56
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,False,2.29,16.0,1594.7
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,1.1,13.3,3461.15
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.38,14.0,2948.91
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,512,False,1.3,13.3,2729.77
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,False,1.19,14.0,3549.22
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,256,False,1.4,14.0,2440.55
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0,2633.98
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,1024,False,3.05,18.4,3368.4
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,2.3,15.6,3330.27
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,4096,False,1.04,14.0,2674.71
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0,2517.99
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3,1698.82
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,4096,False,2.7,17.3,2912.32
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,1024,True,2.91,18.4,3009.96
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,256,False,2.66,17.3,1676.99
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,1024,True,1.6,15.6,4433.14
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.34,14.0,2028.87
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,True,2.6,18.4,3142.78
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,2.19,16.0,3088.87
Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,False,3.5,18.4,3655.27
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0,3370.01
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,4096,True,1.23,13.3,2218.36
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.54,16.0,4612.53
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,1024,False,2.81,17.3,3738.68
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6,1816.01
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,2048,False,1.12,14.0,2938.79
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,2048,False,2.39,16.0,2948.59
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,2048,False,1.47,13.3,1921.72
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,1024,False,1.1,14.0,2230.48
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,3.23,18.4,4240.18
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,256,False,1.09,14.0,2031.32
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,256,False,1.16,14.0,3934.51
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0,4830.99
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3,1709.01
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0,3655.53
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6,3391.66
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4,4102.91
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,False,1.29,14.0,2370.49
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,2.73,17.3,4084.06
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0,2675.35
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,512,True,3.23,18.4,3469.63
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,256,True,2.77,17.3,2210.41
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,512,True,1.17,14.0,3853.44
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,2.02,15.6,4111.58
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,1024,True,1.19,13.3,4096.39
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3,1762.25
Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,256,False,1.17,14.0,1966.33
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,True,2.31,16.0,3172.83
Asus,VivoBook S15,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,1.36,13.3,3031.61
Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,False,2.21,15.6,3198.53
Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,2048,False,2.5,18.4,3002.94
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,1.3,13.3,3964.9
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0,3371.56
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,2.63,17.3,3300.12
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,1.01,13.3,4028.3
Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 4050,8,256,False,2.52,18.4,2034.24
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,64,2048,False,2.75,18.4,2757.64
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,1024,True,1.43,13.3,1920.73
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,4096,False,3.32,17.3,3076.54
